Station,ID,Timestamp
2,start,"48899
"
2,0,"48981
"
1,start,"47584
"
1,0,"47891
"
3,start,"46592
"
3,Lichtschranke,"46592
"
3,0,"47560
"
3,Lichtschranke,"47592
"
2,0,"50017
"
3,Lichtschranke,"48596
"
2,0,"51032
"
1,0,"50041
"
3,Lichtschranke,"49621
"
2,0,"52034
"
3,Lichtschranke,"50638
"
2,0,"53061
"
3,Lichtschranke,"51638
"
2,0,"54193
"
1,0,"53273
"
3,Lichtschranke,"52645
"
1,13ecb9ab,"53829
"
3,0,"52869
"
2,0,"55280
"
1,0,"54275
"
3,Lichtschranke,"53645
"
2,0,"56319
"
1,0,"55436
"
3,Lichtschranke,"54645
"
2,0,"57345
"
1,0,"56613
"
3,Lichtschranke,"55650
"
2,0,"58348
"
1,0,"57642
"
3,Lichtschranke,"56650
"
2,0,"59362
"
3,0,"57446
"
3,Lichtschranke,"57657
"
2,0,"60428
"
1,0,"59467
"
3,Lichtschranke,"58658
"
2,0,"61441
"
3,Lichtschranke,"59666
"
1,0,"61033
"
2,0,"62480
"
3,0,"60263
"
3,Lichtschranke,"60674
"
2,0,"63495
"
1,0,"62201
"
3,Lichtschranke,"61679
"
2,0,"64496
"
3,0,"62451
"
3,Lichtschranke,"62680
"
1,0,"63837
"
2,0,"65550
"
3,Lichtschranke,"63693
"
3,0,"63873
"
2,0,"66604
"
1,0,"65388
"
3,Lichtschranke,"64693
"
2,0,"67605
"
1,0,"66616
"
3,Lichtschranke,"65693
"
2,0,"68610
"
3,Lichtschranke,"66704
"
1,0,"68011
"
2,0,"69610
"
3,Lichtschranke,"67729
"
2,0,"70646
"
3,Lichtschranke,"68744
"
1,0,"69970
"
2,0,"71688
"
3,Lichtschranke,"69747
"
2,0,"72689
"
3,Lichtschranke,"70747
"
3,0,"70795
"
1,0,"72118
"
2,0,"73689
"
3,Lichtschranke,"71747
"
1,0,"73291
"
2,0,"74692
"
3,Lichtschranke,"72761
"
3,0,"73082
"
2,0,"75720
"
1,0,"74539
"
3,Lichtschranke,"73777
"
3,0,"74247
"
2,0,"76731
"
1,0,"75593
"
3,Lichtschranke,"74784
"
2,0,"77738
"
1,0,"76737
"
3,Lichtschranke,"75803
"
2,0,"78776
"
3,Lichtschranke,"76803
"
1,0,"77850
"
2,0,"79794
"
3,0,"77676
"
3,Lichtschranke,"77803
"
1,0,"78924
"
2,0,"80809
"
3,Lichtschranke,"78806
"
1,0,"79958
"
2,0,"81864
"
3,Lichtschranke,"79827
"
3,0,"79848
"
1,0,"81355
"
2,0,"82921
"
3,Lichtschranke,"80839
"
1,0,"82384
"
2,0,"83925
"
3,Lichtschranke,"81854
"
3,0,"82157
"
1,0,"83413
"
2,0,"84980
"
3,Lichtschranke,"82877
"
3,0,"83540
"
1,0,"84602
"
2,0,"85984
"
3,Lichtschranke,"83886
"
2,0,"87022
"
1,0,"85724
"
3,Lichtschranke,"84901
"
2,0,"88031
"
3,Lichtschranke,"85901
"
2,0,"89034
"
3,Lichtschranke,"86901
"
1,0,"88630
"
2,0,"90062
"
3,Lichtschranke,"87905
"
1,0,"89673
"
2,0,"91086
"
3,Lichtschranke,"88928
"
2,0,"92087
"
1,0,"90761
"
3,Lichtschranke,"89937
"
2,0,"93133
"
3,Lichtschranke,"90940
"
2,0,"94134
"
3,Lichtschranke,"91956
"
1,0,"92994
"
2,0,"95136
"
3,Lichtschranke,"92971
"
3,0,"93455
"
1,0,"94451
"
2,0,"96142
"
3,Lichtschranke,"93971
"
2,0,"97142
"
3,Lichtschranke,"94971
"
1,0,"96372
"
2,0,"98165
"
3,Lichtschranke,"95971
"
1,0,"97386
"
2,0,"99207
"
3,Lichtschranke,"96971
"
1,0,"98554
"
2,0,"100211
"
3,Lichtschranke,"97993
"
3,0,"98241
"
3,Lichtschranke,"99018
"
3,Lichtschranke,"100030
"
3,Lichtschranke,"101043
"
1,0,"102297
"
3,Lichtschranke,"102056
"
3,Lichtschranke,"103068
"
3,Lichtschranke,"104081
"
3,Lichtschranke,"105094
"
1,0,"106129
"
3,Lichtschranke,"106106
"
2,0,"108883
"
3,Lichtschranke,"107119
"
3,Lichtschranke,"108137
"
3,Lichtschranke,"109150
"
1,0,"110835
"
3,Lichtschranke,"110163
"
2,0,"113398
"
3,Lichtschranke,"111163
"
1,0,"112510
"
2,0,"114433
"
3,Lichtschranke,"112163
"
1,0,"113727
"
2,0,"115435
"
3,Lichtschranke,"113171
"
3,0,"113864
"
1,0,"114953
"
2,0,"116442
"
3,Lichtschranke,"114181
"
1,0,"115953
"
2,0,"117508
"
3,Lichtschranke,"115183
"
1,0,"117017
"
3,Lichtschranke,"116183
"
2,0,"118514
"
3,Lichtschranke,"117183
"
2,0,"119542
"
1,0,"118839
"
3,Lichtschranke,"118184
"
2,0,"120572
"
1,0,"120157
"
3,0,"119146
"
3,Lichtschranke,"119184
"
2,0,"121599
"
3,Lichtschranke,"120184
"
2,0,"122618
"
1,0,"121412
"
3,Lichtschranke,"121184
"
2,0,"123640
"
1,0,"122477
"
3,Lichtschranke,"122187
"
2,0,"124643
"
1,0,"123591
"
3,Lichtschranke,"123187
"
2,0,"125659
"
1,0,"124846
"
3,Lichtschranke,"124187
"
2,0,"126695
"
1,0,"125941
"
3,0,"125040
"
3,Lichtschranke,"125204
"
2,0,"127701
"
3,Lichtschranke,"126210
"
1,0,"127252
"
2,0,"128732
"
3,Lichtschranke,"127210
"
1,0,"128279
"
2,0,"129758
"
3,Lichtschranke,"128214
"
2,0,"130802
"
1,0,"129850
"
3,Lichtschranke,"129214
"
2,0,"131805
"
1,0,"130874
"
3,Lichtschranke,"130214
"
3,Lichtschranke,"131219
"
2,0,"134375
"
3,Lichtschranke,"132219
"
3,Lichtschranke,"133242
"
1,0,"134548
"
2,0,"136244
"
3,Lichtschranke,"134263
"
3,Lichtschranke,"135271
"
3,Lichtschranke,"136279
"
1,0,"137400
"
3,Lichtschranke,"137282
"
3,Lichtschranke,"138290
"
2,0,"141020
"
3,Lichtschranke,"139298
"
2,0,"142041
"
2,13ecb9ab,"142071
"
3,Lichtschranke,"140306
"
2,0,"143046
"
2,13ecb9ab,"143074
"
1,0,"141977
"
3,Lichtschranke,"141319
"
1,13ecb9ab,"143008
"
1,0,"143014
"
3,Lichtschranke,"142327
"
2,0,"144854
"
2,13ecb9ab,"145206
"
3,Lichtschranke,"143335
"
3,Lichtschranke,"144343
"
3,Lichtschranke,"145351
"
3,Lichtschranke,"146359
"
1,0,"147623
"
1,start,"32451
"
2,start,"31717
"
1,start,"50447
"
2,start,"49714
"
2,start,"62821
"
1,start,"18791
"
2,start,"18418
"
1,start,"14296
"
2,start,"13783
"
1,start,"17117
"
2,start,"16504
"
1,start,"12333
"
2,start,"11798
"
2,ID nicht erkannt,"11803
"
3,start,"11289
"
3,Lichtschranke,"11289
"
3,Lichtschranke,"12299
"
2,ID nicht erkannt,"12857
"
3,Lichtschranke,"13312
"
2,ID nicht erkannt,"13878
"
3,Lichtschranke,"14316
"
2,ID nicht erkannt,"14961
"
1,ID nicht erkannt,"15900
"
3,Lichtschranke,"15318
"
2,ID nicht erkannt,"16051
"
1,ID nicht erkannt,"17051
"
3,Lichtschranke,"16319
"
2,ID nicht erkannt,"17056
"
3,Lichtschranke,"17319
"
1,ID nicht erkannt,"18629
"
2,ID nicht erkannt,"18092
"
3,Lichtschranke,"18332
"
